Index	Label
369	HI
370	HI
371	HI
372	HI
373	HI
374	HI
375	HI
376	HI
377	HI
378	HI
379	HI
380	HI
381	HI
382	HY
383	HY
384	HY
385	HY
386	HY
387	HY
388	HY
389	HY
390	HY
391	HY
392	HY
393	HY
394	HY
395	HY
396	HY
397	HY
398	HY
399	HY
400	HY
401	HY
402	HY
403	HY
404	HY
405	HY
406	HY
407	HY
408	HY
409	HY
410	HY
411	HY
412	HY
413	HY
414	HY
415	HY
416	HY
417	HY
418	HY
419	HY
420	HY
421	HY
422	HY
423	HY
424	HY
425	HY
426	HY
427	HY
428	HY
429	HY
430	HY
431	HY
432	HY
433	HY
434	HY
435	HY
436	HY
437	HY
438	HY
439	HY
440	HY
441	HY
442	LI
443	LI
444	LI
445	LI
446	LI
447	LI
448	LI
449	LI
450	LI
451	LI
452	LI
453	LI
454	LI
455	LI
456	LI
457	LI
458	LI
459	LI
460	LI
461	LI
462	LI
463	LI
464	LI
465	LI
466	LI
467	LI
468	LI
469	LI
470	LI
471	LI
472	LI
473	LI
474	LI
475	LI
476	LI
477	LI
478	LI
479	LI
480	LI
481	LI
482	LI
483	LI
484	LI
485	LI
486	LI
487	LI
488	LI
489	LI
490	LI
491	LI
492	LI
493	LI
494	LI
495	LI
496	LI
497	LI
498	LI
499	LI
500	LI
501	LI
502	LI
503	LI
504	LI
505	LI
506	LI
507	LI
508	LI
509	LI
510	LI
511	LI
512	LI
513	LI
514	LI
515	LI
516	LI
517	LI
518	LI
519	LI
520	LI
521	LI
522	LI
523	OR
524	OR
525	OR
526	OR
527	OR
528	OR
529	OR
530	OR
531	OR
532	OR
533	OR
534	OR
535	OR
536	OR
537	OR
538	OR
539	OR
540	OR
541	OR
542	OR
543	OR
544	OR
545	OR
546	OR
547	OR
548	OR
549	OR
550	OR
551	OR
552	OR
553	OR
554	OR
555	OR
556	OR
557	OR
558	OR
559	OR
560	OR
561	OR
562	OR
563	OR
564	OR
565	OR
566	OR
567	OR
568	OR
569	OR
570	OR
571	OR
572	OR
573	OR
574	OR
575	OR
576	OR
577	OR
578	OR
579	OR
580	OR
581	OR
582	OR
583	OR
584	OR
585	OR
586	OR
587	PE
588	PE
589	PE
590	PE
591	PE
592	PE
593	PE
594	PE
595	PE
596	PE
597	PE
598	PE
599	PE
600	PE
601	PE
602	PE
603	PE
604	PE
605	PE
606	PE
607	PE
608	PE
609	PE
610	PE
611	PE
612	PE
613	PE
614	PE
615	PE
616	PE
617	PE
618	PE
619	PE
620	PE
621	PE
622	PE
623	PE
624	PE
625	PE
626	PE
627	PE
628	PE
629	PE
630	PE
631	PE
632	PE
633	PE
634	PE
635	PE
636	PE
637	PE
638	PE
639	PE
640	PE
641	PE
642	PE
643	PE
644	PE
645	PE
646	PE
647	PE
648	PE
649	PE
650	PE
651	PE
652	PE
653	PE
654	PE
655	PE
656	PE
657	PE
658	PE
659	PE
660	PE
661	PE
662	TU
663	TU
664	TU
665	TU
666	TU
667	TU
668	TU
669	TU
670	TU
671	TU
672	TU
673	TU
674	TU
675	TU
676	TU
677	TU
678	TU
679	TU
680	TU
681	TU
682	TU
683	TU
684	TU
685	TU
686	TU
687	TU
688	TU
689	TU
690	TU
691	TU
692	TU
693	TU
694	TU
695	TU
696	TU
697	TU
698	TU
699	TU
700	TU
701	TU
702	TU
703	TU
704	TU
705	TU
706	TU
707	TU
708	TU
709	TU
710	TU
711	TU
712	TU
713	TU
714	TU
715	TU
716	TU
717	TU
718	TU
719	TU
720	TU
721	TU
722	TU
723	TU
724	TU
725	TU
726	TU
727	TU
728	TU
729	TU
730	TU
731	TU
732	TU
